Use GPU: 0 for training
-> using alexnet
Epoch: [0][ 310/3615]	Time  0.914 ( 2.862)	Data  0.877 ( 2.799)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   1.17 (  0.70)
Epoch: [0][ 320/3615]	Time  7.411 ( 2.866)	Data  7.371 ( 2.803)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   1.56 (  0.71)
Epoch: [0][ 330/3615]	Time  0.379 ( 2.860)	Data  0.342 ( 2.798)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   1.95 (  0.71)
Epoch: [0][ 340/3615]	Time  7.690 ( 2.864)	Data  7.652 ( 2.803)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.72)
Epoch: [0][ 350/3615]	Time  0.351 ( 2.862)	Data  0.314 ( 2.801)	Loss 6.9056e+00 (6.9082e+00)	Acc@1   0.39 (  0.13)	Acc@5   0.78 (  0.71)
Epoch: [0][ 360/3615]	Time  7.259 ( 2.869)	Data  7.223 ( 2.809)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.72)
Epoch: [0][ 370/3615]	Time  0.983 ( 2.871)	Data  0.945 ( 2.811)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.72)
Epoch: [0][ 380/3615]	Time  7.764 ( 2.880)	Data  7.728 ( 2.820)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.71)
Epoch: [0][ 390/3615]	Time  0.070 ( 2.878)	Data  0.000 ( 2.818)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.71)
Epoch: [0][ 400/3615]	Time 10.017 ( 2.895)	Data  9.981 ( 2.835)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.70)
Epoch: [0][ 410/3615]	Time  0.073 ( 2.888)	Data  0.000 ( 2.829)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.70)
Epoch: [0][ 420/3615]	Time  8.727 ( 2.898)	Data  8.690 ( 2.839)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   1.17 (  0.70)
Epoch: [0][ 430/3615]	Time  0.071 ( 2.891)	Data  0.000 ( 2.832)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.78 (  0.70)
Epoch: [0][ 440/3615]	Time 10.565 ( 2.902)	Data 10.523 ( 2.843)	Loss 6.9017e+00 (6.9081e+00)	Acc@1   0.78 (  0.14)	Acc@5   1.56 (  0.71)
Epoch: [0][ 450/3615]	Time  0.071 ( 2.890)	Data  0.000 ( 2.831)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.70)
Epoch: [0][ 460/3615]	Time 10.065 ( 2.901)	Data 10.022 ( 2.842)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.70)
Epoch: [0][ 470/3615]	Time  0.073 ( 2.890)	Data  0.000 ( 2.832)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 480/3615]	Time  9.190 ( 2.898)	Data  9.154 ( 2.840)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.13)	Acc@5   1.56 (  0.69)
Epoch: [0][ 490/3615]	Time  0.070 ( 2.890)	Data  0.000 ( 2.832)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.39 (  0.69)
Epoch: [0][ 500/3615]	Time  7.039 ( 2.894)	Data  6.999 ( 2.836)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.13)	Acc@5   1.17 (  0.69)
Epoch: [0][ 510/3615]	Time  0.072 ( 2.894)	Data  0.000 ( 2.836)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.69)
Epoch: [0][ 520/3615]	Time  7.942 ( 2.897)	Data  7.905 ( 2.839)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.69)
Epoch: [0][ 530/3615]	Time  0.071 ( 2.892)	Data  0.000 ( 2.835)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.69)
Epoch: [0][ 540/3615]	Time  9.059 ( 2.899)	Data  9.020 ( 2.841)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.39 (  0.69)
Epoch: [0][ 550/3615]	Time  0.069 ( 2.893)	Data  0.000 ( 2.836)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.68)
